case topic,Case Number,Case Open Date,Opened Date_Day of Week
Business Hours,1,2023-04-27T14:46:51,Thursday
Custom Report,1,2023-04-27T14:52:22,Thursday
Send/ Receive Issue,1,2023-04-27T15:05:59,Thursday
Unable to Login,1,2023-04-27T15:15:58,Thursday
Reporting,1,2023-04-27T15:16:24,Thursday
Dashboard Configuration,1,2023-04-27T15:20:52,Thursday
IVR,1,2023-04-27T15:22:28,Thursday
Error Message,1,2023-04-27T15:22:32,Thursday
Forecasting & Scheduling,1,2023-04-27T15:22:44,Thursday
Agent State,1,2023-04-27T15:29:33,Thursday
Dialing Behavior,1,2023-04-27T15:32:28,Thursday
IVR,1,2023-04-27T15:34:52,Thursday
Data Mismatch,1,2023-04-27T15:36:23,Thursday
Inquiry/How To,1,2023-04-27T15:36:27,Thursday
Unable to Login,1,2023-04-27T15:47:05,Thursday
Unable to Login,1,2023-04-27T15:47:10,Thursday
Interactions,1,2023-04-27T15:48:27,Thursday
FTP,1,2023-04-27T15:49:43,Thursday
Connection Issue,1,2023-04-27T15:56:05,Thursday
IVR,1,2023-04-27T15:57:57,Thursday
Data Mismatch,1,2023-04-27T16:03:12,Thursday
Sound Options,1,2023-04-27T16:03:46,Thursday
Users,1,2023-04-27T16:06:05,Thursday
Unable to Login,1,2023-04-27T16:07:35,Thursday
Data Mismatch,1,2023-04-27T16:09:25,Thursday
Sound Options,1,2023-04-27T16:09:31,Thursday
Unable to Login,1,2023-04-27T16:10:40,Thursday
Unable to Login,1,2023-04-27T16:12:20,Thursday
Data Mismatch,1,2023-04-27T16:12:42,Thursday
Error Message,1,2023-04-27T16:13:47,Thursday
Calls Failing,1,2023-04-27T16:15:20,Thursday
Forcibly Logout,1,2023-04-27T16:17:48,Thursday
Recordings,1,2023-04-27T16:19:16,Thursday
Audio Issues,1,2023-04-27T16:21:00,Thursday
Permission Set,1,2023-04-27T16:37:07,Thursday
Error Message,1,2023-04-27T16:43:25,Thursday
Users Management,1,2023-04-27T16:43:36,Thursday
Configuration,1,2023-04-27T16:50:52,Thursday
GR Moves,1,2023-04-27T16:58:39,Thursday
Sound Options,1,2023-04-27T17:01:00,Thursday
Audio Issues on Echo,1,2023-04-27T17:08:40,Thursday
Launching Application,1,2023-04-27T17:13:52,Thursday
Unable to Login,1,2023-04-27T17:21:04,Thursday
Launching Application,1,2023-04-27T17:21:24,Thursday
Connection Issue,1,2023-04-27T17:23:47,Thursday
Launching Application,1,2023-04-27T17:25:45,Thursday
Dialing Behavior,1,2023-04-27T17:32:41,Thursday
Interactions,1,2023-04-27T17:42:36,Thursday
Contacts,1,2023-04-27T17:42:45,Thursday
Users Management,1,2023-04-27T17:49:45,Thursday
Audio Issues,1,2023-04-27T18:23:10,Thursday
Unable to Login,1,2023-04-27T18:23:13,Thursday
Users Management,1,2023-04-27T19:19:30,Thursday
Unable to Login,1,2023-04-27T19:22:50,Thursday
Error Message,1,2023-04-27T19:26:59,Thursday
Error Message,1,2023-04-27T19:59:23,Thursday
Connectors,1,2023-04-27T20:44:59,Thursday
Unable to Login,1,2023-04-27T21:03:58,Thursday
Users Management,1,2023-04-27T21:47:08,Thursday
Users,1,2023-04-27T22:17:35,Thursday
Standard Report,1,2023-04-27T22:18:30,Thursday
Reporting Delay,1,2023-04-27T23:05:42,Thursday
General Q&A,1,2023-04-27T23:14:45,Thursday
